,phi0,yep_or_nop,mphi_phi0,A6_phi0,lambda6_phi0,mphi_2,A6_2,lambda6_2,mphi_gut,A6_gut,lambda6_gut,dv,phi*,alpha
10,142440212941306.6875,nop: mphi_GUT_Im A6_2TeV_neg,183.25587589801508607287968105092,819.5451915684541008214344085252,2.017414985059075376823898965247,571.888102636834636383013688678755424221054368157842104185952226294145689022555346397561526166563440114968642330751088189965096773816561886579841104387,-55.4292247085206831989324110416268080819508230030243173884280947387087678399613222238726023872249658355702113206365800531652335982327713429937728765322,3.5910105923418536580876736638448181574034261723931626149407937341322863113427149782940961181224170517592092448322804737236509477272504444510339658356,(0.0 + 217.808041142250163525874920384457859290793903908634801549880418039831684041480583025057563235240973118796292711419624820042403036379212764248750107225j),1047.59348512257861125904260540002290787378226718988274811128861380025612048326445238538117193728825810660694075672539704568908495738245860553053792835,1.73648153354812376669667535092676163053305738597122557964776127031359305931239783787086792120792826863864130325384760973703677882912494799711117047838,0.000000000000000000000996204000150484,142440212941238.31425149635423333,0.99999999999999999999993213485231
11,147569251914226.375,nop: mphi_GUT_Im,196.07625806997182694920793242204,876.87968363649744205426077776694,1.8737398710969955979752530878717,576.566800391479017007650515296895020437043625770083068763104988298995052825227157846567788077682085819357606102005300777773453829098009151194492917899,0.457552347976190307015477401406140347615941283554385225219196152741536800356839226561878954202223124789326854226453480248375373859175225622532618691149,3.33843157017803599018352607764518263157019089002364424644173956664559496595312348389463132574531083696906767861885571284141559618560937612546801919057,(0.0 + 205.102582651012073848763837543691315019939394618295626267221856175481513147024524826318892890859387867098414042007831152980481400238410003381644918025j),1103.48026217907548476499049384305585630334903147646145072493590469170642512358261383581565327871544706696647893158843057910269392947440517414684342357,1.61434354579490960736434605797886770244395657218453011282696789560565157387804685077482723200404079572080157316087815318664487432401598174228665926343,0.00000000000000000000150356356954493,147569251914150.34657415812091691,0.99999999999999999999992207685838
12,152882979187187.90625,nop: mphi_GUT_Im,209.79430562525337350027399184787,938.22865734086612662396173351167,1.7403032786476366052199566758811,581.813924171115071619375564660248887271833311953026261495194808070434282008038496453333771590749357285267013270609797372580800783520614192169140144263,60.3580664628088186111300736729912649175603367925060804777150872132241271703358126508989712200337057132172576874113234997887962606474781391248094309374,3.10363100722976183736261414096996096340218911804530472593636203525608311205957217616015459306020948818713223536043342819036289326207604175088152083762,(0.0 + 189.707412518306223206335544543925156212493279407029403092251737766464984423325466479416736608109012717403004671844284060194624890835381245041665219268j),1163.38077629390811306910509011464098087329342698541314597743179575218901549356158726015274554454692965539440976477330059864311481626270808764912023582,1.50080257142521677852478049659843478332943259176454981796476976679704515324577966943650977894158040813561035567251277850114950326263217195639365170715,0.00000000000000000000226934920262085,152882979187103.36556102445928277,0.9999999999999999999999105279197
13,158388045083644.15625,nop: mphi_GUT_Im,224.47292317087036834701175903646,1003.8734306363075680051414044875,1.616375126526939965829438801762,587.701136196293513113822241754235779850739396274811801312105269429831019764877716901912086512356306772774133713972288937754855370976593540717596802137,124.553634603820020334723339408410451377778129168319806342839780413122943883633418420333647283444303758147459920925177883196487630924520534912666966664,2.88535658379333077621784438747665847026544304668977373911541544394642067465451535454713426146158915721151526666327023882118617013678070560943558037994,(0.0 + 170.598122021810398272798085525645936721399080773922661954994911173005303624151044480953468409705457041011202042307097384973746595264683748475231245758j),1227.57634443491931479269835585006016733351121936122687184255648895208783220685919302958742160795752770032461199828715498205080618653975048343697777154,1.39525303438081481066087759166053675385281738381254520547515295203669188892258611695515229049719616323506155973770965352730453555197241009308943951054,0.00000000000000000000342520735957396,158388045083550.15025141042800218,0.99999999999999999999989726698387
14,164091339394312.6875,nop: mphi_GUT_Im,240.17942685130311066435976607873,1074.1150504729040586135450173259,1.5012774281262738005828983215176,594.307795182801805433898876854794293614374974619116046273353958739003788393449645884821789789386982197435717209142148867762153466333262076923817557908,193.34530273084183772285575473596412809746518189393514256792217925717017568824070332702026212993584286722896810984592853829560938124568541878313690653,2.68244426152814236398688536425885219700639690787548615148209485929054504153874562198965565768765874533752739245824415145444694668515156430545342854048,(0.0 + 145.92665729310647938872217375110716615450189570293187746629495103256843214892288895967559394091606882711345992750311306308503361262760618855580728793j),1296.36801256194113218083077117761384405319827208684220806763888779613506401146647793627403645444906680940612018720790563714992793686091536730744771141,1.29713204824552176974625570130624009564371699688680068328417618943047485107968976421851534210814748238238003951660258419330327630818145653364481426504,0.00000000000000000000516985538259936,164091339394208.15644072061197891,0.99999999999999999999988204021839
15,170000000000000.0625,nop: mphi_GUT_Im,256.98585396426321245650097797174,1149.2756774398527074146835544541,1.3943805716865029858951920567109,601.721463288662868731532708435709392667418824675393191871976761480928259768187074615518346442261032752072104032206072269818757815794288564370453873873,267.055230439456760304791364433531380350333353454924860494918309585713579662648694033048463577264866260084561157002007807842555135821666216020353381269,2.49381205522829061808679927946525190122144520613175469326244667258516627242821742273718956463692304177450477292099039402925403535697146935983730723564,(0.0 + 111.479259692254822784144384743297014707628071988189101159414985696169834209048254980100409898700057043137653093864874253411581267243312350561320189826j),1370.07794027055605476276638087518109630606644364783192599463501812467846798587446864230223790177809020226171323436398490669687369143689616454466418615,1.20591640450148064625464207962640012006937388402043768179267376555431833123542676098722568614290848063075202025534254212573173953776828383704971346074,0.0000000000000000000078032566399013,169999999999883.8279775438665536,0.99999999999999999999986455614877
16,176224501537023.1875,nop: mphi_GUT_Im,275.27709327138459746158555169699,1231.0765864067318474186881152961,1.2935186692503237580186468517801,610.184113956111876096512173565486179613007641365500312335173781178253839965771889241785841395472578964399287850084696347108944390638117825051626244431,347.380678388925304666455922509017775276257288955035347652429016051050687641384871476262006316336033243755554054702880236023475021640349288110318028373,2.31566004803286591713369804070430281674960611552043022721305573425854485225386572174898403002620801139776631195373816450189727673716295449529791527113,(0.0 + 46.6014141349543522529501533029177616035268164021355606172185013345194869104526759979399462205809087809194186094668284070788356411396620056533138603938j),1450.40338822002459912443093895066749123199037914794241315214572459001557596461064608551578064084925718593270613206485733487779357725557923663462883325,1.11976860217555046332180817874980334345161347677954228692067492291850414024895992992000892602192158951539650468096501645569448589119391621927688814442,0.0000000000000000000118586921277002,176224501536893.71210519538070018,0.9999999999999999999998441241302
17,182676911423367.09375,yep!,294.87132768450926809310326938902,1318.7046666363567693716955767131,1.1999570314982268985880769018184,619.690888006082888482180423044718505518575941927502148329345402593907453772670971773047221368018396588655137987345282118083776147015974498420077046086,433.532523037836589444836611719796254339286039408470651743241608483300873793514288070526020890216150411364932340644505094463987663080946698732590638567,2.15024396551665028519980186370384316619050672352383735174415551783326505878239405300628484535877487858240023527035596359699888057686017491587408244624,97.5728033520853485353369292232179240389379545970365691529382172656954217779185437444282533954433052102797089176139980382661039366191123592093474427678,1536.55523286893588390281162816144597029501912960137771724295831702226576211674006267977979521472937435354208441800648219331830621869617664725690144345,1.03977942774820404789950284895674690198635732961017308041160973040530601479413871837084150916700256817427011881891940824319947417598581590862093233541,0.000000000000000000018022035088978,182676911423222.86914696832545118,0.99999999999999999999982060929492
18,189365574458270.125,yep!,315.86145223936583788481490831652,1412.5753573580503764080169676393,1.1131669401561840060113378527513,630.362604705053502471550742231918906458381591245842857472803201340904829595740174842926167923629004166917453268857488359347753508514211357436849447441,525.92620256096487000047208894721376598974083267645218448258224963121017128601385628638795630413807455013974802263212710409990811819385483077250952529,1.99665265573235707087906818963226990158129370195629905311072053947509031817648306704156662451815861247289493654198747257764412309998160436774243948031,151.197449339453781504500802375966166249768257607752351373080139818781698505485524485749954270302647766009989389008395817902000738961399774679548267164,1628.94891239206416445844710538886348194547392286935924998229895817017505960923963089564173062865129849231690009999410420295422667380908477929682033017,0.965508281424471743989084551827751245500674542249921186243765025565063025376047848965366091666613525195140937437787981084029043530660643306699319084738,0.0000000000000000000273890508908963,189365574458109.47103056408827,0.99999999999999999999979354641423
19,196299140983415.84375,yep!,338.34698989762188411305927610421,1513.1337387870342857628344128287,1.0326579941123792828802836767392,642.330475364347765731068926353468776466556834188378262647611082864807885561525963570137815936218317603215095122890239599802755474610214189979805600826,625.006796115308481612442300978108884683425736023437725350210582193549455125187226555601726689668111567495359003020884326747306392204724768201297516647,1.85404020162625752697023310443831465651584283038670089695268476926129823452420547417116653478530773181317673732151395375796305420658752694105164898968,195.171962274313686023394228677734636928374198279522690895653676161175898331970585896017746961338878467126118116595445104504156175997996517694065925184,1728.02950594640777607041731741975860063915882621634479084992729073251434344841300116485550101418133550967251108038286142560162494781995471672560832153,0.896546108620709046221673948957903586246090231830568628793641440454279108882498189692156466374950026390590969074603372527186902168825686562679185941847,0.00000000000000000004162519034316,196299140983236.888860522190204,0.99999999999999999999976240003863
