,phi0B,xstar,alpha,mphi,A6,lambda6,ns,r
10,4287657230135.693301719139567741441870231137213269220278609107769004047727643183811617451148401913620262583205582260532048042383026,0.9999999999999994170517220681503128838888928766399480704885403395149750976581141041394711761372818885820658161069857613956364107277,0.9999999999999999999999999999298495231434040005305469719351228461883566369821506990580192275353504149264832499602430703116683143053,0.2185614965667696393164637610876390573644041632776838602424833436277415804962218777357223473963542613506848553105336476511002047775,1.38230427593212713513860431708818680113111006936244830690402734852321270874623097482140458198674794121648986908948191048749828745,2930.631477953253664048158267039093291286359175435073642500755809154067106514641293518407706520535115360778579235343322274270259066,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000016033326907372983168,2.062814962431630138629740803843920686714526441189060369124324044505222523079523104001578463935085224539083274259302924154094042538e-43
11,4959547624941.629977050147561788815196286432874079635853443292840750003398948342991801343097413225253582341113478005887475383525827,0.9999999999999992200369380942760604705081859557304724891871261298894366188148607357509577981213495314428359905332523913289764908004,0.9999999999999999999999999998764503040986663839010795445899758833520963306800745357500480996707327549370586318445015524585417817884,0.2880405508749389360072497861452016329351053678506777852359531696003244591715073147178855326649153413399559566251936670017198100069,1.821728398508825853489622252450106424305652541926774911050148098213877218215681908653749243391719119678831279289306481787032508151,2157.511719589488924574228878347687544983515700132280750476240930149787525519323833104174961448134621906813117367039844619962891039,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000063356386667414760366,4.793627010463682774577633694724672568283506939913122064653178027002450859277157568013036369470155933612577183140982615768519409188e-43
12,5736725517885.142973763520469981117207945147550054911998471030158736511191437211349701337187089636390386172819378981032072950217795,0.9999999999999989564385024078042319609667309056865127794406347942656474486191826373463968561359195376541842860988368016075211157153,0.9999999999999999999999999997823883732172658123481983773225331584076516827742044379078521959485346159639030405219579969486638344393,0.3796370600401431315407602467474008949516478568128623424293108447596698928102263928653642223206211181112409685346796776139372087092,2.401035587873892725290741299418727509172775289181833710214254163511890660740277428777475473266337159607744762306133110995108920298,1588.473991882800502986262175947926086079746371523604854994632547407075123299681417368482804363355733166537323431536257201203892546,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000032914765627555256118,0.000000000000000000000000000000000000000001114135950121134145613830997335947015407961309437246575759645300330516220210474073808610513793638019083069797146093256382192340131
13,6635689816153.725096918380184231354613377095358155102129241962822849270918709743863257799471952909484713140420293501670324868025181,0.9999999999999986037536231574764132526081608497762978629968918054600065343599989188735792964423537139861544126246458089855020429382,0.9999999999999999999999999996166889065141192415803356548488622927716951429820643502059944232733883891893525025823811580527344333876,0.500400949546854522591093700055857587595835528303804130129285716677240795228288504224641402688785592696675921250040761180711796871,3.164813487758124715352184636297340777569799341128945522249337632963805255351204235832219443382023804436885690103387753003420984002,1169.611442727977043069903902834259872817626922366643731291467192771247102589479795651621404068108018947865134523868218649528075225,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000008656187617969933415,0.000000000000000000000000000000000000000002589889572231883299497382689795444521742866016419630919813986380346720973903178930629262536649157334827959066208027386193897498291
14,7675524861513.4885623075846481371775553427028932300481677189025371272362577988013553268368144178368278585972770677651364683545518,0.9999999999999981318744038142862008901225970007903528362198687219049965238133881132025600955888697201695511355970582393450212670571,0.9999999999999999999999999993247741142231098356110316319524593877636130800842192120898114458999705246653875808603177687940526685444,0.6596320896701986404189462462093805362149532305393089561759749929039928822717509673692190239826383354841570574384458358218524194738,4.171879642188508677965818096415241481667507654629506472405365546750685444980187869671342220841596593980934466440538859859726999066,861.265864524601128741366819326557970907169560793635309095607772446437604506440179730347046771266576751473548862022798132319517033,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000013882565109223374255,0.00000000000000000000000000000000000000000602133178970076318958788475447087947783871856219981218670138051048321034393241864908740028589630750320277758100685520768192393295
15,8878305576655.184532456153210486806421523297122590617187623629436631393880022078595180829692148439320880078933558965905052934590579,0.9999999999999975005176013302975698112727570970076452706494461104731463978039394916393880056495344427382650759017772003313199597097,0.9999999999999999999999999988104718852964286889292145833361474210988871142834601506200955682820705873947700651946131904862614705353,0.8695991969852011210074993977463809200380865474642379078337594152190628235406169007866376562838693831561719786535685240112637383866,5.499828227853326774928228884178741601706511712546957826550744173869801675158085000901246741642263004277973701235160667503044367777,634.2588943246345792519161538042316941823127460170322142008648478779934335194015313508775687423174181950486208521577031090577242021,0.9550999999999999490185587092128116637468338012695312499999999999999999999999999999999999999999999999999999999993609160315172025106,0.00000000000000000000000000000000000000001400139411705185803012104627986329686302945780952747257387215192384118914577928505849047406749772984009878739347827001312160777172
16,10269566099343.42784321651410707278373953149432739901565193713134007499310396926324427963368890886986170901771318356013047408101997,0.9999999999999966557857383810490206781069476439228907653614851856116256801982121549923639188645355688154320129215307023796312598135,0.9999999999999999999999999979043062888441797102189754359070350188611189040927712780660575128596522662687103662608940848617232586561,1.146488695462390383234248908847265739266279862874465363871929929253804215709030857135370240036919159253611238182116371307464933893,7.251031178592610959573488105160773785356809638894107392725166303892806204829473654454075878424982685083372240246853333744761837194,467.1207820445635406759317347718795167545799662974253769605309014210345234594427060288659856815417449489638893770683191784401864176,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000000305606840599550914,0.00000000000000000000000000000000000000003256241342653176958664601774710642779279424408029185992286598052854224645014467205923813470324387803737393482322917799099787115626
17,11878841853122.64523792700763405397839152745169309852573477308805687282820177237189325288106041688656291782552014565590457595227378,0.9999999999999955255659997574097555352601469027326130977353482588945090958453138059256614727890176639552347516465795058793073442769,0.9999999999999999999999999963076069464990680014731700224721176138034527595492621103752274832969695019298449428443672889099226346188,1.511657173888539243093155410486146247592059698480985574465503232585247920154904517307399588895912105055750265201560599078499459457,9.560559421641989607234964286750150798449078177729454504702256530149007355757619725497478967799278011770546551706134286346951732617,344.0524844136360332687390909200107820680507879550610645852519036187586601511388080432917257091130270400096885184486022923503589544,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000000379684528175153075,0.00000000000000000000000000000000000000007574041195234802140763699037549311908012266602681965851986512149498844459704034668254573507968860609587430264478106997636155204124
18,13740296562336.71634327884894685604157173825652123613862802162248258722457063371771933586981743423892366682415243462429816052753792,0.9999999999999940133741272800734955455645006140460201596993538502120409752157299681237022498898269088565166920119526358304301096221,0.9999999999999999999999999934939917745528994656505540347118195628895906958008909306896569941880724053170627924469853639150869851649,1.99328467985760337184287061962484368720041060626369686895718348290750899257569400396854460916327067502044766214793033866809910944,12.60663922693915813359486880029184202010084606458071045077763626902648058269975835455070429748867022708014011911910413131673848956,253.426889975778121345538445917069473181295131610861508938046437001971257956298511064919996641314654415403673826551928760671209562,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000000603372177590596354,0.0000000000000000000000000000000000000001761991112663073453658583226771162080065874365300993030291259137639482189859200287688238783626203120043887095039639528870525355252
19,15893447522523.64261395560191122856628266971428519596176483123048005128028895259258178035621509343598636857725422177641599079213851,0.9999999999999919901177807122119903949733344957698277981397863571153613039379229718736777695174810668479180877279733049352582582954,0.9999999999999999999999999885357033204601264564440028157148134993558331727080470399091863554838976339720096000935570261050101887547,2.628557267241653175401722799930612441094193069390052869243376972161100051890749796194148043024570136390953620718242124828803796336,16.62445584934304874963983230102773001393876017704297032365118902175035696107975264075443740176806227266682704971576256837403973376,186.6864446122991552468006381960030627952760082235870342062094789119101681843030449602824903779995911147569406886835740540092281931,0.9550999999999999490185587092128116637468338012695312499999999999999999999999999999999999999999999999999999999999699440827309446094,0.0000000000000000000000000000000000000004099623313332989019486804935880433142692929450174828094571866678275987001899943049203443155284359911015968187334787846711285346037
