,phi0B,xstar,alpha,mphi,A6,lambda6,ns,r
19,2.39883291901949e+17,0.999999101854081,0.99999999942281,284185917.296413,1797349554.6831,3.88929014663317e-7,0.977900000000337,4.01645485402423e-15
20,2.51188643150958e+17,0.999999015200246,0.999999999308748,310425330.85569,1963302177.15208,3.53366148637262e-7,0.97789999999972,5.25475036866417e-15
21,2.63026799189538e+17,0.999998920185741,0.999999999172139,339089964.278561,2144593236.76306,3.21057431511698e-7,0.977900000000104,6.87492013013253e-15
22,2.75422870333817e+17,0.999998816003852,0.999999999008526,370404271.098727,2342642302.29158,2.91704934812722e-7,0.977899999999962,8.99476363872193e-15
23,2.88403150312661e+17,0.999998701770015,0.999999998812569,404613320.940152,2558999330.11185,2.65037891017921e-7,0.977899999999848,1.17684194037832e-14
24,3.01995172040202e+17,0.999998576514303,0.999999998577871,441985322.118318,2795360618.52648,2.40810620818854e-7,0.977899999999753,1.53976157654816e-14
25,3.16227766016838e+17,0.999998439173187,0.999999998296772,482812924.549696,3053577048.08766,2.18799677457801e-7,0.977900000000383,2.01463121325444e-14
26,3.31131121482591e+17,0.999998288580498,0.999999997960095,527416188.460972,3335672857.36035,1.98802227353985e-7,0.977899999999746,2.63599568655605e-14
27,3.46736850452532e+17,0.999998123457519,0.999999997556847,576144643.893292,3643858668.3676,1.80633924954797e-7,0.977899999999758,3.44906072790376e-14
28,3.63078054770101e+17,0.999997942402121,0.99999999707386,629380530.945779,3980551979.68567,1.64127401679346e-7,0.977899999999809,4.51299021802488e-14
29,3.80189396320561e+17,0.999997743876843,0.999999996495362,687541372.41475,4348393437.23757,1.49130552297584e-7,0.977900000000145,5.90521149538615e-14
30,3.98107170553497e+17,0.999997526195829,0.999999995802458,751083595.658327,4750269740.96881,1.35505232595516e-7,0.977900000000079,7.72706092040719e-14
31,4.16869383470335e+17,0.999997287510496,0.999999994972513,820505933.758195,5189335155.67361,1.23125927542935e-7,0.977899999999928,1.011116586941e-13
32,4.36515832240166e+17,0.999997025793817,0.999999993978413,896353537.517277,5669037517.53927,1.11878626365623e-7,0.977899999999824,1.32311153551486e-13
33,4.57088189614875e+17,0.99999673882309,0.999999992787675,979222225.854757,6193145115.98822,1.0165975310469e-7,0.977899999999995,1.73141153463521e-13
34,4.78630092322638e+17,0.999996424161036,0.999999991361387,1069763280.46105,6765777017.71735,9.23752176259401e-8,0.977899999999964,2.26575608374884e-13
35,5.01187233627272e+17,0.999996079135068,0.99999998965293,1168688518.18292,7391435147.25039,8.39395360838244e-8,0.977899999999807,2.96507262681486e-13
36,5.24807460249773e+17,0.999995700814558,0.999999987606454,1276776099.93637,8075041025.69222,7.62750552915125e-8,0.977900000000122,3.88031756032398e-13
37,5.49540873857625e+17,0.999995285985904,0.999999985155045,1394876678.95954,8821974655.64634,6.93112289229952e-8,0.97790000000006,5.07819538015346e-13
38,5.75439937337157e+17,0.99999483112518,0.999999982218536,1523920237.99184,9638117763.27022,6.29839685394781e-8,0.977900000000099,6.64602930095947e-13
39,6.02559586074358e+17,0.999994332368142,0.999999978700875,1664923485.40149,10529900575.4108,5.72350495642226e-8,0.977899999999984,8.69813885360696e-13
40,6.30957344480193e+17,0.999993785477328,0.999999974486977,1818998044.36876,11504353612.4392,5.20115761204641e-8,0.977900000000022,1.13841927463362e-12
41,6.60693448007596e+17,0.999993185805971,0.999999969438946,1987359468.29004,12569164706.5319,4.72654948316884e-8,0.977900000000002,1.4900149666111e-12
42,6.91830970918936e+17,0.999992528258409,0.999999963391549,2171336952.90705,13732740426.3849,4.2953148377047e-8,0.977899999999945,1.95025867884255e-12
43,7.2443596007499e+17,0.999991807246665,0.99999995614679,2372384077.77237,15004274011.9647,3.90348735641155e-8,0.97790000000007,2.55274698042466e-12
44,7.58577575029184e+17,0.999991016642809,0.999999947467403,2592090686.59603,16393820512.1013,3.5474637412118e-8,0.977899999999932,3.34147449366141e-12
45,7.94328234724282e+17,0.999990149726696,0.999999937069051,2832195679.98648,17912377692.4718,3.22397025445049e-8,0.977900000000023,4.37405536379625e-12
46,8.31763771102671e+17,0.99998919912863,0.999999924610972,3094601354.13886,19571976720.8841,2.93003276834332e-8,0.977899999999957,5.72594513195585e-12
47,8.70963589956081e+17,0.999988156766454,0.999999909684761,3381388825.20001,21385779718.815,2.66294915505702e-8,0.977899999999995,7.4959724365637e-12
48,9.1201083935591e+17,0.999987013776526,0.999999891800918,3694835199.1116,23368188352.1004,2.4202644835341e-8,0.977899999999994,9.81358963547926e-12
49,9.54992586021436e+17,0.999985760437974,0.999999870372704,4037432343.77962,25534962555.3368,2.1997483786875e-8,0.977900000000028,1.28483765962847e-11
